Chandler,The Interviewer,"[0.648, 0.375, 0.386, 0.58, 0.477]",我 也 是 我 公司 从 KL - 5 到 GR - 6 系统 过渡 的 关键人物 。 ,你 一定 忙 得 不可开交 。 ,我 做 的 。 我 做 的 。 ,neutral,neutral,neutral,neutral,neutral,neutral
Chandler,The Interviewer,"[0.648, 0.375, 0.386, 0.58, 0.477]",我 做 的 。 我 做 的 。 ,所以 让 我们 来 谈谈 你 的 职责 。 ,我 的 职责 ？ 好 吧 。 ,neutral,neutral,surprise,neutral,neutral,positive
Chandler,The Interviewer,"[0.648, 0.375, 0.386, 0.58, 0.477]",我 的 职责 ？ 好 吧 。 ,“ ” 现在 你 将 领导 整个 部门 ， 所以 你 将 有 很多 职责 . “ ” ,我 明白 了 。 ,surprise,neutral,neutral,positive,neutral,neutral
Chandler,The Interviewer,"[0.648, 0.375, 0.386, 0.58, 0.477]",我 明白 了 。 ,但 你 下面 可能 有 30 个人 ， 所以 你 可以 给 他们 一定 的 数量 。 ,很 高兴 知道 。 ,neutral,neutral,neutral,neutral,neutral,neutral
Chandler,The Interviewer,"[0.648, 0.375, 0.386, 0.58, 0.477]",很 高兴 知道 。 ,我们 可以 详细 讨论 。 ,不 ， 我 不 求求 你 ！ ,neutral,neutral,fear,neutral,neutral,negative
Chandler,The Interviewer,"[0.648, 0.375, 0.386, 0.58, 0.477]",不 ， 我 不 求求 你 ！ ,“ ” 那好 吧 ， 我们 星期一 会 给 你 一个 明确 的 答复 ， 但 我 想 我 可以 自信 地说 ， 你 会 很 适合 这里 的 。 “ ” ,的确 ,fear,neutral,surprise,negative,neutral,positive
Joey,Rachel,"[0.574, 0.614, 0.297, 0.545, 0.455]",但 那 是 谁 ？ 上个月 和 我 约会 的 那个 女招待 ？ ,你 知道 ？ 算了吧 ！ ,“ ” 不 不 不 ， 不 ！ “ 谁 ， 你 说 的 是 谁 ？ ” ,surprise,sadness,surprise,positive,negative,positive
Rachel,Joey,"[0.635, 0.354, 0.521, 0.552, 0.469]",你 知道 ？ 算了吧 ！ ,“ ” 不 不 不 ， 不 ！ “ 谁 ， 你 说 的 是 谁 ？ ” ,“ ” 不 ， 我 - 我 - 我 不 知道 ， 我 真的 不 知道 “ ” ,sadness,surprise,fear,negative,positive,negative
Joey,Rachel,"[0.574, 0.614, 0.297, 0.545, 0.455]",“ ” 不 不 不 ， 不 ！ “ 谁 ， 你 说 的 是 谁 ？ ” ,“ ” 不 ， 我 - 我 - 我 不 知道 ， 我 真的 不 知道 “ ” ,好 吧 ！ ,surprise,fear,neutral,positive,negative,neutral
Chandler,Monica,"[0.648, 0.375, 0.386, 0.58, 0.477]",“ 嘿 ， 莫妮卡 。 ” ,嘿嘿嘿 。 你 想 听些 糟糕 的 事 吗 。 ,我 曾经 。 ,neutral,neutral,joy,neutral,neutral,positive
Monica,Chandler,"[0.713, 0.457, 0.457, 0.66, 0.511]",嘿嘿嘿 。 你 想 听些 糟糕 的 事 吗 。 ,我 曾经 。 ,克里斯 说 他们 要 关闭 酒吧 。 ,neutral,joy,sadness,neutral,positive,negative
Chandler,Monica,"[0.648, 0.375, 0.386, 0.58, 0.477]",我 曾经 。 ,克里斯 说 他们 要 关闭 酒吧 。 ,没门 ！ ,joy,sadness,surprise,positive,negative,positive
Monica,Chandler,"[0.713, 0.457, 0.457, 0.66, 0.511]",克里斯 说 他们 要 关闭 酒吧 。 ,没门 ！ ,“ ” 是 的 ， 显然 他们 正在 把 它 变成 一种 咖啡馆 . “ ” ,sadness,surprise,neutral,negative,positive,neutral
Chandler,Monica,"[0.648, 0.375, 0.386, 0.58, 0.477]",没门 ！ ,“ ” 是 的 ， 显然 他们 正在 把 它 变成 一种 咖啡馆 . “ ” ,只要 咖啡 ！ 我们 现在 去 哪里 玩 ？ ,surprise,neutral,disgust,positive,neutral,negative
Monica,Chandler,"[0.713, 0.457, 0.457, 0.66, 0.511]",“ ” 是 的 ， 显然 他们 正在 把 它 变成 一种 咖啡馆 . “ ” ,只要 咖啡 ！ 我们 现在 去 哪里 玩 ？ ,抓住 我 了 。 ,neutral,disgust,sadness,neutral,negative,negative
Chandler,Monica,"[0.648, 0.375, 0.386, 0.58, 0.477]",只要 咖啡 ！ 我们 现在 去 哪里 玩 ？ ,抓住 我 了 。 ,我能 喝杯 啤酒 吗 ？ ,disgust,sadness,neutral,negative,negative,neutral
Monica,Chandler,"[0.713, 0.457, 0.457, 0.66, 0.511]",抓住 我 了 。 ,我能 喝杯 啤酒 吗 ？ ,“ 嘿 ， 你 选好 室友 了 吗 ？ ” ,sadness,neutral,neutral,negative,neutral,neutral
Chandler,Monica,"[0.648, 0.375, 0.386, 0.58, 0.477]",我能 喝杯 啤酒 吗 ？ ,“ 嘿 ， 你 选好 室友 了 吗 ？ ” ,你 说 对 了 ！ ,neutral,neutral,joy,neutral,neutral,positive
Monica,Chandler,"[0.713, 0.457, 0.457, 0.66, 0.511]",“ 嘿 ， 你 选好 室友 了 吗 ？ ” ,你 说 对 了 ！ ,是 那个 意大利人 吗 ？ ,neutral,joy,neutral,neutral,positive,neutral
Chandler,Monica,"[0.648, 0.375, 0.386, 0.58, 0.477]",你 说 对 了 ！ ,是 那个 意大利人 吗 ？ ,“ 嗯 ， 是 的 ， 没错 ！ ” ,joy,neutral,joy,positive,neutral,positive
Phoebe,Chandler,"[0.6, 0.48, 0.31, 0.46, 0.56]",“ ” 天 啊 ， 天 啊 ！ 可怜 的 莫妮卡 ！ ,“ 什么 ， 什么 ， 什么 ？ ！ ” ,什么 ？ ,surprise,surprise,surprise,positive,positive,positive
Rachel,Ross,"[0.635, 0.354, 0.521, 0.552, 0.469]",嘿 ！ ,嗨 ！ ,你 在 这里 做 什么 ？ ,surprise,joy,surprise,positive,positive,positive
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]",嗨 ！ ,你 在 这里 做 什么 ？ ,“ ” 啊 ， 你 知道 ， 这栋 楼 在 我 的 送报 路线 上 ， 所以 我 … … “ ” ,joy,surprise,neutral,positive,positive,neutral
Rachel,Ross,"[0.635, 0.354, 0.521, 0.552, 0.469]",你 在 这里 做 什么 ？ ,“ ” 啊 ， 你 知道 ， 这栋 楼 在 我 的 送报 路线 上 ， 所以 我 … … “ ” ,哦 。 ,surprise,neutral,neutral,positive,neutral,neutral
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]",“ ” 啊 ， 你 知道 ， 这栋 楼 在 我 的 送报 路线 上 ， 所以 我 … … “ ” ,哦 。 ,嗨 。 ,neutral,neutral,neutral,neutral,neutral,neutral
Rachel,Ross,"[0.635, 0.354, 0.521, 0.552, 0.469]",哦 。 ,嗨 。 ,嗨 。 ,neutral,neutral,neutral,neutral,neutral,neutral
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]",嗨 。 ,嗨 。 ,事情 进展 如何 ？ ,neutral,neutral,neutral,neutral,neutral,neutral
Rachel,Ross,"[0.635, 0.354, 0.521, 0.552, 0.469]",嗨 。 ,事情 进展 如何 ？ ,“ ” 哦 ， 好 吧 ， 我 面试 的 那位 女士 很 强硬 ， 但 你 知道 ， 谢天谢地 ， 马克 指导 了 我 ， 因为 一旦 我 开始 谈论 秋季 系列 ， 她 就 会 很 高兴 ， 不会 闭嘴 。 “ ” ,neutral,neutral,joy,neutral,neutral,positive
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]",事情 进展 如何 ？ ,“ ” 哦 ， 好 吧 ， 我 面试 的 那位 女士 很 强硬 ， 但 你 知道 ， 谢天谢地 ， 马克 指导 了 我 ， 因为 一旦 我 开始 谈论 秋季 系列 ， 她 就 很 高兴 ， 不肯 闭嘴 。 “ ” ,我 真为 你 骄傲 。 ,neutral,joy,joy,neutral,positive,positive
Rachel,Ross,"[0.635, 0.354, 0.521, 0.552, 0.469]",“ ” 哦 ， 好 吧 ， 我 面试 的 那位 女士 很 强硬 ， 但 你 知道 ， 谢天谢地 ， 马克 指导 了 我 ， 因为 一旦 我 开始 谈论 秋季 系列 ， 她 就 会 很 高兴 ， 不会 闭嘴 。 “ ” ,我 真为 你 骄傲 。 ,我 也 是 ！ ,joy,joy,joy,positive,positive,positive
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]",我 真为 你 骄傲 。 ,我 也 是 ！ ,“ ” 听 着 ， 我 … … 啊 ， 对不起 ， 我 一直 这么 疯狂 和 嫉妒 ， 只是 我 很 喜欢 你 ， 所以 … … “ ” ,joy,joy,sadness,positive,positive,negative
Rachel,Ross,"[0.635, 0.354, 0.521, 0.552, 0.469]",我 也 是 ！ ,“ ” 听 着 ， 我 … … 啊 ， 对不起 ， 我 一直 这么 疯狂 和 嫉妒 ， 只是 我 很 喜欢 你 ， 所以 … … “ ” ,我 知道 。 ,joy,sadness,neutral,positive,negative,neutral
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]",“ ” 听 着 ， 我 … … 啊 ， 对不起 ， 我 一直 这么 疯狂 和 嫉妒 ， 只是 我 很 喜欢 你 ， 所以 … … “ ” ,我 知道 。 ,是 啊 。 ,sadness,neutral,neutral,negative,neutral,neutral
Rachel,Ross,"[0.635, 0.354, 0.521, 0.552, 0.469]",我 知道 。 ,是 啊 。 ,是 啊 。 ,neutral,neutral,neutral,neutral,neutral,neutral
Phoebe,Joey,"[0.6, 0.48, 0.31, 0.46, 0.56]",美国 。 ,美国 。 ,美国 。 你 知道 这是 一个 ,neutral,neutral,neutral,neutral,neutral,neutral
Chandler,Joey,"[0.648, 0.375, 0.386, 0.58, 0.477]",干得 好 ， 乔 ！ 干得 漂亮 ！ 一流 的 ！ ,你 喜欢 吗 ？ 你 真的 很 喜欢 ？ ,“ 哦 - 嗬 - 嗬 ， 耶 ！ ” ,joy,surprise,joy,positive,positive,positive
Joey,Chandler,"[0.574, 0.614, 0.297, 0.545, 0.455]",你 喜欢 吗 ？ 你 真的 很 喜欢 ？ ,“ 哦 - 嗬 - 嗬 ， 耶 ！ ” ,到底 是 哪 一部分 ？ ,surprise,joy,neutral,positive,positive,neutral
Chandler,Joey,"[0.648, 0.375, 0.386, 0.58, 0.477]",“ 哦 - 嗬 - 嗬 ， 耶 ！ ” ,到底 是 哪 一部分 ？ ,整件事 ！ 我们 可以 走 了 吗 ？ ,joy,neutral,neutral,positive,neutral,neutral
Joey,Chandler,"[0.574, 0.614, 0.297, 0.545, 0.455]",到底 是 哪 一部分 ？ ,整件事 ！ 我们 可以 走 了 吗 ？ ,“ ” 哦 ， 不 ， 不 ， 给 我 一些 细节 。 “ ” ,neutral,neutral,anger,neutral,neutral,negative
Chandler,Joey,"[0.648, 0.375, 0.386, 0.58, 0.477]",整件事 ！ 我们 可以 走 了 吗 ？ ,“ ” 哦 ， 不 ， 不 ， 给 我 一些 细节 。 “ ” ,“ 我 喜欢 细节 ， 细节 是 最好 的 部分 ！ ” ,neutral,anger,joy,neutral,negative,positive
Joey,Chandler,"[0.574, 0.614, 0.297, 0.545, 0.455]",“ ” 哦 ， 不 ， 不 ， 给 我 一些 细节 。 “ ” ,“ 我 喜欢 细节 ， 细节 是 最好 的 部分 ！ ” ,“ ” 嘿 ， 那 和 袋鼠 的 那场 戏 呢 ？ “ 你 喜欢 那 部分 吗 ？ ” ,anger,joy,neutral,negative,positive,neutral
Chandler,Joey,"[0.648, 0.375, 0.386, 0.58, 0.477]",“ 我 喜欢 细节 ， 细节 是 最好 的 部分 ！ ” ,“ ” 嘿 ， 那 和 袋鼠 的 那场 戏 呢 ？ “ 你 喜欢 那 部分 吗 ？ ” ,我 很 惊讶 在 一战 史诗 中 看到 袋鼠 。 ,joy,neutral,surprise,positive,neutral,positive
Joey,Chandler,"[0.574, 0.614, 0.297, 0.545, 0.455]",“ ” 嘿 ， 那 和 袋鼠 的 那场 戏 呢 ？ “ 你 喜欢 那 部分 吗 ？ ” ,我 很 惊讶 在 一战 史诗 中 看到 袋鼠 。 ,你 睡着 了 ！ ,neutral,surprise,anger,neutral,positive,negative
